symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik
KVUE,Kenvue,Consumer Staples,Personal Care Products,Skillman, New Jersey,2023-08-25
PANW,Palo Alto Networks,Information Technology,Application Software,Santa Clara, California,2023-06-20
AXON,Axon Enterprise,Industrials,Aerospace & Defense,Scottsdale, Arizona,2023-05-04
FICO,Fair Isaac,Information Technology,Application Software,Bozeman, Montana,2023-03-20
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,Chesterfield, Missouri,2023-03-15
PODD,Insulet,Health Care,Health Care Equipment,Acton, Massachusetts,2023-03-15
GEHC,GE HealthCare,Health Care,Health Care Technology,Chicago, Illinois,2023-01-04
STLD,Steel Dynamics,Materials,Steel,Fort Wayne, Indiana,2022-12-22
FSLR,First Solar,Information Technology,Semiconductors,Tempe, Arizona,2022-12-19
ACGL,Arch Capital Group,Financials,Reinsurance,Hamilton, Bermuda,2022-11-01
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,Houston, Texas,2022-10-12
EQT,EQT,Energy,Oil & Gas Exploration & Production,Pittsburgh, Pennsylvania,2022-10-03
PCG,PG&E Corporation,Utilities,Multi-Utilities,San Francisco, California,2022-10-03
CSGP,CoStar Group,Industrials,Research & Consulting Services,Washington, D.C.,2022-09-19
INVH,Invitation Homes,Real Estate,Residential REITs,Dallas, Texas,2022-09-19
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Burlington, Massachusetts,2022-06-21
ON,ON Semiconductor,Information Technology,Semiconductors,Phoenix, Arizona,2022-06-21
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,New York City, New York,2022-06-08
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,New York City, New York,2022-04-11
CPT,Camden Property Trust,Real Estate,Residential REITs,Houston, Texas,2022-04-04
MOH,Molina Healthcare,Health Care,Managed Health Care,Long Beach, California,2022-03-02
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,Westlake, Ohio,2022-02-15
CEG,Constellation Energy,Utilities,Multi-Utilities,Baltimore, Maryland,2022-02-02
FDS,FactSet,Financials,Financial Exchanges & Data,Norwalk, Connecticut,2021-12-20
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,Herzliya, Israel,2021-12-20
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,Newtown, Pennsylvania,2021-12-14
BRO,Brown & Brown,Financials,Insurance Brokers,Daytona Beach, Florida,2021-09-20
CDAY,Ceridian,Information Technology,Application Software,Minneapolis, Minnesota,2021-09-20
MTCH,Match Group,Communication Services,Interactive Media & Services,Dallas, Texas,2021-09-20
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,Minneapolis, Minnesota,2021-08-30
MRNA,Moderna,Health Care,Biotechnology,Cambridge, Massachusetts,2021-07-21
OGN,Organon & Co.,Health Care,Pharmaceuticals,Jersey City, New Jersey,2021-06-03
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,Wilmington, Massachusetts,2021-05-14
PTC,PTC,Information Technology,Application Software,Boston, Massachusetts,2021-04-20
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,Reno, Nevada,2021-03-22
GNRC,Generac,Industrials,Electrical Components & Equipment,Waukesha, Wisconsin,2021-03-22
NXPI,NXP Semiconductors,Information Technology,Semiconductors,Eindhoven, Netherlands,2021-03-22
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,Kirkland, Washington,2021-02-12
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,Westminster, Colorado,2021-01-21
ENPH,Enphase,Information Technology,Electronic Components,Fremont, California,2021-01-07
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Austin, Texas,2020-12-21
POOL,Pool Corporation,Consumer Discretionary,Distributors,Covington, Louisiana,2020-10-07
CTLT,Catalent,Health Care,Pharmaceuticals,Somerset, New Jersey,2020-09-21
ETSY,Etsy,Consumer Discretionary,Broadline Retail,New York City, New York,2020-09-21
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,North Reading, Massachusetts,2020-09-21
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,Hercules, California,2020-06-22
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,Thousand Oaks, California,2020-06-22
TYL,Tyler Technologies,Information Technology,Application Software,Plano, Texas,2020-06-22
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,Exton, Pennsylvania,2020-05-22
DPZ,Domino's,Consumer Discretionary,Restaurants,Ann Arbor, Michigan,2020-05-12
DXCM,Dexcom,Health Care,Health Care Equipment,San Diego, California,2020-05-12
CARR,Carrier Global,Industrials,Building Products,Palm Beach Gardens, Florida,2020-04-03
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,Farmington, Connecticut,2020-04-03
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,Davidson, North Carolina,2020-03-03
PAYC,Paycom,Information Technology,Application Software,Oklahoma City, Oklahoma,2020-01-28
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,Beverly Hills, California,2019-12-23
STE,Steris,Health Care,Health Care Equipment,Dublin, Ireland,2019-12-23
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Lincolnshire, Illinois,2019-12-23
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,Thomasville, North Carolina,2019-12-09
WRB,Berkley,Financials,Property & Casualty Insurance,Greenwich, Connecticut,2019-12-05
NOW,ServiceNow,Information Technology,Systems Software,Santa Clara, California,2019-11-21
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,Las Vegas, Nevada,2019-10-03
